CBSA Code,CBSA,Year,Quarter,Properties,Units,Occupancy,Annual Rent Growth, Units ,Annual Inventory Growth,Construction vs. Inventory
17140,"Cincinnati, OH",2015,1Q2015,59,"9,399",91.4%,4.2%,"  9,399 ",,7.7%
17140,"Cincinnati, OH",2015,2Q2015,60,"9,655",90.2%,3.4%,"  9,655 ",,4.9%
17140,"Cincinnati, OH",2015,3Q2015,59,"9,593",90.9%,3.3%,"  9,593 ",,7.9%
17140,"Cincinnati, OH",2015,4Q2015,60,"9,733",92.1%,4.3%,"  9,733 ",,6.2%
17140,"Cincinnati, OH",2016,1Q2016,60,"9,819",91.8%,4.1%,"  9,819 ",,5.3%
17140,"Cincinnati, OH",2016,2Q2016,60,"9,845",91.1%,4.2%,"  9,845 ",,7.4%
17140,"Cincinnati, OH",2016,3Q2016,60,"9,848",90.0%,4.9%,"  9,848 ",,8.6%
17140,"Cincinnati, OH",2016,4Q2016,61,"9,928",89.6%,4.0%,"  9,928 ",,8.6%
17140,"Cincinnati, OH",2017,1Q2017,63,"10,104",89.1%,3.4%,"  10,104 ",,7.4%
17140,"Cincinnati, OH",2017,2Q2017,63,"10,165",88.6%,4.4%,"  10,165 ",,7.3%
17140,"Cincinnati, OH",2017,3Q2017,63,"10,296",88.4%,2.8%,"  10,296 ",,7.0%
17140,"Cincinnati, OH",2017,4Q2017,65,"10,505",87.7%,4.0%,"  10,505 ",,5.8%
17140,"Cincinnati, OH",2018,1Q2018,67,"10,699",87.4%,3.6%,"  10,699 ",,3.9%
17140,"Cincinnati, OH",2018,2Q2018,67,"10,658",88.8%,3.6%,"  10,658 ",,5.9%
17140,"Cincinnati, OH",2018,3Q2018,67,"10,727",89.3%,3.6%,"  10,727 ",,7.9%
17140,"Cincinnati, OH",2018,4Q2018,67,"10,711",89.4%,3.1%,"  10,711 ",,7.9%
17140,"Cincinnati, OH",2019,1Q2019,67,"10,782",88.5%,2.8%,"  10,782 ",,7.2%
17140,"Cincinnati, OH",2019,2Q2019,69,"10,936",88.4%,2.0%,"  10,936 ",,5.7%
17140,"Cincinnati, OH",2019,3Q2019,71,"11,168",87.6%,2.8%,"  11,168 ",,3.7%
17460,"Cleveland, OH",2005,4Q2005,65,"7,164",91.7%,,"  7,164 ",,6.0%
17460,"Cleveland, OH",2006,1Q2006,68,"7,425",90.0%,,"  7,425 ",,2.3%
17460,"Cleveland, OH",2006,2Q2006,68,"7,425",90.1%,,"  7,425 ",,2.3%
17460,"Cleveland, OH",2006,3Q2006,68,"7,425",89.4%,,"  7,425 ",,2.3%
17460,"Cleveland, OH",2006,4Q2006,67,"7,389",89.6%,3.2%,"  7,389 ",,3.2%
17460,"Cleveland, OH",2007,1Q2007,68,"7,463",89.9%,4.6%,"  7,463 ",,2.6%
17460,"Cleveland, OH",2007,2Q2007,68,"7,463",89.6%,4.7%,"  7,463 ",,2.6%
17460,"Cleveland, OH",2007,3Q2007,69,"7,593",89.8%,3.4%,"  7,593 ",,5.6%
17460,"Cleveland, OH",2007,4Q2007,69,"7,593",90.2%,3.9%,"  7,593 ",,9.3%
17460,"Cleveland, OH",2008,1Q2008,69,"7,593",89.7%,3.7%,"  7,593 ",,9.3%
17460,"Cleveland, OH",2008,2Q2008,69,"7,658",90.0%,3.9%,"  7,658 ",,10.0%
17460,"Cleveland, OH",2008,3Q2008,69,"7,658",90.1%,3.7%,"  7,658 ",,10.9%
17460,"Cleveland, OH",2008,4Q2008,69,"7,877",86.7%,3.3%,"  7,877 ",,9.0%
17460,"Cleveland, OH",2009,1Q2009,70,"7,935",86.0%,1.6%,"  7,935 ",,8.2%
17460,"Cleveland, OH",2009,2Q2009,71,"8,058",84.9%,1.0%,"  8,058 ",,6.5%
17460,"Cleveland, OH",2009,3Q2009,74,"8,489",83.4%,1.4%,"  8,489 ",,1.1%
17460,"Cleveland, OH",2009,4Q2009,74,"8,489",83.7%,1.5%,"  8,489 ",,1.4%
17460,"Cleveland, OH",2010,1Q2010,74,"8,489",84.2%,2.1%,"  8,489 ",,1.4%
17460,"Cleveland, OH",2010,2Q2010,74,"8,489",85.2%,1.8%,"  8,489 ",,1.4%
17460,"Cleveland, OH",2010,3Q2010,74,"8,604",85.9%,3.0%,"  8,604 ",,0.0%
17460,"Cleveland, OH",2010,4Q2010,74,"8,604",87.2%,2.6%,"  8,604 ",,0.1%
17460,"Cleveland, OH",2011,1Q2011,74,"8,604",87.6%,2.5%,"  8,604 ",,0.3%
17460,"Cleveland, OH",2011,2Q2011,74,"8,604",87.8%,3.0%,"  8,604 ",,0.3%
17460,"Cleveland, OH",2011,3Q2011,74,"8,605",89.5%,1.5%,"  8,605 ",,1.2%
17460,"Cleveland, OH",2011,4Q2011,74,"8,606",90.1%,2.1%,"  8,606 ",,1.8%
17460,"Cleveland, OH",2012,1Q2012,74,"8,605",90.5%,1.8%,"  8,605 ",,1.8%
17460,"Cleveland, OH",2012,2Q2012,74,"8,631",90.8%,2.5%,"  8,631 ",,2.1%
17460,"Cleveland, OH",2012,3Q2012,75,"8,757",89.7%,2.7%,"  8,757 ",,0.6%
17460,"Cleveland, OH",2012,4Q2012,75,"8,757",90.2%,2.6%,"  8,757 ",,2.1%
17460,"Cleveland, OH",2013,1Q2013,75,"8,778",90.5%,3.3%,"  8,778 ",,2.1%
17460,"Cleveland, OH",2013,2Q2013,75,"8,777",89.9%,2.6%,"  8,777 ",,2.6%
17460,"Cleveland, OH",2013,3Q2013,75,"8,804",90.5%,2.0%,"  8,804 ",,3.6%
17460,"Cleveland, OH",2013,4Q2013,75,"8,805",91.3%,1.6%,"  8,805 ",,3.6%
17460,"Cleveland, OH",2014,1Q2014,75,"8,859",90.6%,1.7%,"  8,859 ",,3.5%
17460,"Cleveland, OH",2014,2Q2014,76,"8,963",90.6%,1.1%,"  8,963 ",,4.4%
17460,"Cleveland, OH",2014,3Q2014,77,"9,020",90.7%,1.4%,"  9,020 ",,5.1%
17460,"Cleveland, OH",2014,4Q2014,77,"9,036",90.3%,1.6%,"  9,036 ",,5.8%
17460,"Cleveland, OH",2015,1Q2015,78,"9,153",89.4%,1.7%,"  9,153 ",,4.4%
17460,"Cleveland, OH",2015,2Q2015,78,"9,146",89.4%,1.9%,"  9,146 ",,6.3%
17460,"Cleveland, OH",2015,3Q2015,79,"9,234",89.6%,2.2%,"  9,234 ",,5.6%
17460,"Cleveland, OH",2015,4Q2015,79,"9,257",89.9%,2.5%,"  9,257 ",,5.3%
17460,"Cleveland, OH",2016,1Q2016,80,"9,411",88.5%,1.8%,"  9,411 ",,4.6%
17460,"Cleveland, OH",2016,2Q2016,80,"9,410",88.4%,2.4%,"  9,410 ",,5.6%
17460,"Cleveland, OH",2016,3Q2016,80,"9,405",89.2%,3.0%,"  9,405 ",,8.1%
17460,"Cleveland, OH",2016,4Q2016,81,"9,581",87.7%,3.3%,"  9,581 ",,6.1%
17460,"Cleveland, OH",2017,1Q2017,82,"9,605",86.5%,3.2%,"  9,605 ",,5.3%
17460,"Cleveland, OH",2017,2Q2017,82,"9,605",86.5%,2.3%,"  9,605 ",,7.8%
17460,"Cleveland, OH",2017,3Q2017,84,"9,745",86.2%,2.4%,"  9,745 ",,10.0%
17460,"Cleveland, OH",2017,4Q2017,84,"9,745",86.9%,2.0%,"  9,745 ",,12.0%
17460,"Cleveland, OH",2018,1Q2018,85,"9,847",85.8%,2.6%,"  9,847 ",,10.9%
17460,"Cleveland, OH",2018,2Q2018,86,"9,964",85.6%,3.0%,"  9,964 ",,9.5%
17460,"Cleveland, OH",2018,3Q2018,88,"10,245",83.6%,3.5%,"  10,245 ",,8.2%
17460,"Cleveland, OH",2018,4Q2018,90,"10,497",82.2%,3.7%,"  10,497 ",,7.6%
17460,"Cleveland, OH",2019,1Q2019,93,"10,793",82.0%,2.8%,"  10,793 ",,7.8%
17460,"Cleveland, OH",2019,2Q2019,94,"10,883",83.0%,5.2%,"  10,883 ",,6.9%
17460,"Cleveland, OH",2019,3Q2019,94,"10,912",84.0%,3.7%,"  10,912 ",,6.6%
19100,"Dallas, TX",2005,4Q2005,174,"18,540",86.2%,,"  18,540 ",,10.0%
19100,"Dallas, TX",2006,1Q2006,175,"18,584",87.0%,,"  18,584 ",,9.9%
19100,"Dallas, TX",2006,2Q2006,178,"19,017",86.7%,,"  19,017 ",,7.7%
19100,"Dallas, TX",2006,3Q2006,181,"19,328",86.1%,,"  19,328 ",,6.6%
19100,"Dallas, TX",2006,4Q2006,183,"19,883",86.3%,2.8%,"  19,883 ",,6.1%
19100,"Dallas, TX",2007,1Q2007,188,"20,116",86.8%,2.7%,"  20,116 ",,6.3%
19100,"Dallas, TX",2007,2Q2007,189,"20,185",86.8%,3.0%,"  20,185 ",,6.5%
19100,"Dallas, TX",2007,3Q2007,190,"20,236",87.2%,3.0%,"  20,236 ",,6.7%
19100,"Dallas, TX",2007,4Q2007,191,"20,440",87.1%,4.1%,"  20,440 ",,5.6%
19100,"Dallas, TX",2008,1Q2008,194,"20,850",85.8%,4.3%,"  20,850 ",,7.3%
19100,"Dallas, TX",2008,2Q2008,197,"21,411",84.9%,4.5%,"  21,411 ",,6.6%
19100,"Dallas, TX",2008,3Q2008,199,"21,564",84.7%,3.8%,"  21,564 ",,7.7%
19100,"Dallas, TX",2008,4Q2008,199,"21,566",84.3%,3.0%,"  21,566 ",,8.9%
19100,"Dallas, TX",2009,1Q2009,202,"21,999",83.2%,3.3%,"  21,999 ",,6.8%
19100,"Dallas, TX",2009,2Q2009,202,"22,253",82.7%,2.8%,"  22,253 ",,6.1%
19100,"Dallas, TX",2009,3Q2009,204,"22,656",81.9%,2.4%,"  22,656 ",,5.1%
19100,"Dallas, TX",2009,4Q2009,205,"22,887",80.9%,2.5%,"  22,887 ",,5.2%
19100,"Dallas, TX",2010,1Q2010,204,"22,897",81.3%,2.2%,"  22,897 ",,5.0%
19100,"Dallas, TX",2010,2Q2010,207,"23,368",80.8%,1.2%,"  23,368 ",,3.3%
19100,"Dallas, TX",2010,3Q2010,209,"23,640",81.0%,1.6%,"  23,640 ",,2.1%
19100,"Dallas, TX",2010,4Q2010,209,"23,635",81.7%,1.2%,"  23,635 ",,3.2%
19100,"Dallas, TX",2011,1Q2011,209,"23,651",82.3%,1.0%,"  23,651 ",,3.3%
19100,"Dallas, TX",2011,2Q2011,210,"23,883",82.0%,1.8%,"  23,883 ",,2.6%
19100,"Dallas, TX",2011,3Q2011,212,"23,980",82.8%,1.7%,"  23,980 ",,2.6%
19100,"Dallas, TX",2011,4Q2011,214,"24,252",83.0%,1.5%,"  24,252 ",,2.3%
19100,"Dallas, TX",2012,1Q2012,213,"24,183",84.8%,1.5%,"  24,183 ",,3.4%
19100,"Dallas, TX",2012,2Q2012,213,"24,228",85.9%,1.4%,"  24,228 ",,3.8%
19100,"Dallas, TX",2012,3Q2012,214,"24,342",86.7%,2.2%,"  24,342 ",,4.9%
19100,"Dallas, TX",2012,4Q2012,215,"24,465",86.8%,2.3%,"  24,465 ",,5.7%
19100,"Dallas, TX",2013,1Q2013,216,"24,661",85.9%,3.3%,"  24,661 ",,8.1%
19100,"Dallas, TX",2013,2Q2013,217,"24,713",86.2%,2.8%,"  24,713 ",,8.9%
19100,"Dallas, TX",2013,3Q2013,222,"25,267",85.3%,1.7%,"  25,267 ",,6.6%
19100,"Dallas, TX",2013,4Q2013,223,"25,395",85.5%,1.7%,"  25,395 ",,7.9%
19100,"Dallas, TX",2014,1Q2014,226,"25,622",85.9%,1.0%,"  25,622 ",,7.3%
19100,"Dallas, TX",2014,2Q2014,228,"25,766",85.8%,1.3%,"  25,766 ",,8.1%
19100,"Dallas, TX",2014,3Q2014,233,"25,725",87.4%,1.8%,"  25,725 ",,8.6%
19100,"Dallas, TX",2014,4Q2014,238,"26,145",87.1%,1.6%,"  26,145 ",,9.1%
19100,"Dallas, TX",2015,1Q2015,239,"26,371",85.5%,2.1%,"  26,371 ",,10.2%
19100,"Dallas, TX",2015,2Q2015,243,"26,821",85.5%,2.2%,"  26,821 ",,11.4%
19100,"Dallas, TX",2015,3Q2015,243,"26,829",86.5%,2.8%,"  26,829 ",,12.5%
19100,"Dallas, TX",2015,4Q2015,249,"27,539",86.6%,3.1%,"  27,539 ",,11.9%
19100,"Dallas, TX",2016,1Q2016,253,"28,007",84.8%,3.3%,"  28,007 ",,12.0%
19100,"Dallas, TX",2016,2Q2016,258,"28,298",84.9%,3.1%,"  28,298 ",,11.1%
19100,"Dallas, TX",2016,3Q2016,260,"28,429",85.1%,2.9%,"  28,429 ",,12.3%
19100,"Dallas, TX",2016,4Q2016,267,"29,492",84.6%,2.6%,"  29,492 ",,9.8%
19100,"Dallas, TX",2017,1Q2017,268,"29,633",85.6%,2.5%,"  29,633 ",,9.3%
19100,"Dallas, TX",2017,2Q2017,276,"30,655",83.6%,2.1%,"  30,655 ",,8.4%
19100,"Dallas, TX",2017,3Q2017,277,"30,738",83.9%,1.8%,"  30,738 ",,8.3%
19100,"Dallas, TX",2017,4Q2017,281,"31,080",84.2%,1.4%,"  31,080 ",,9.6%
19100,"Dallas, TX",2018,1Q2018,284,"31,344",83.6%,-0.1%,"  31,344 ",,9.5%
19100,"Dallas, TX",2018,2Q2018,287,"31,591",84.0%,0.0%,"  31,591 ",,10.3%
19100,"Dallas, TX",2018,3Q2018,292,"32,074",83.7%,0.3%,"  32,074 ",,9.4%
19100,"Dallas, TX",2018,4Q2018,292,"32,191",84.2%,1.1%,"  32,191 ",,9.8%
19100,"Dallas, TX",2019,1Q2019,294,"32,473",85.0%,1.4%,"  32,473 ",,9.0%
19100,"Dallas, TX",2019,2Q2019,296,"32,737",84.5%,1.8%,"  32,737 ",,9.3%
19100,"Dallas, TX",2019,3Q2019,298,"32,978",85.3%,1.7%,"  32,978 ",,9.4%
19740,"Denver, CO",2005,4Q2005,68,"8,551",93.7%,,"  8,551 ",,6.7%
19740,"Denver, CO",2006,1Q2006,69,"8,816",90.8%,,"  8,816 ",,3.5%
19740,"Denver, CO",2006,2Q2006,69,"8,815",91.4%,,"  8,815 ",,7.3%
19740,"Denver, CO",2006,3Q2006,70,"8,902",91.4%,,"  8,902 ",,10.2%
19740,"Denver, CO",2006,4Q2006,70,"8,905",91.7%,3.6%,"  8,905 ",,10.2%
19740,"Denver, CO",2007,1Q2007,70,"8,905",91.9%,5.0%,"  8,905 ",,12.2%
19740,"Denver, CO",2007,2Q2007,72,"9,289",89.1%,5.3%,"  9,289 ",,11.5%
19740,"Denver, CO",2007,3Q2007,72,"9,412",90.8%,5.4%,"  9,412 ",,14.4%
19740,"Denver, CO",2007,4Q2007,72,"9,461",90.9%,5.1%,"  9,461 ",,16.5%
19740,"Denver, CO",2008,1Q2008,72,"9,654",90.8%,4.8%,"  9,654 ",,20.1%
19740,"Denver, CO",2008,2Q2008,74,"10,065",87.2%,4.1%,"  10,065 ",,15.2%
19740,"Denver, CO",2008,3Q2008,75,"10,244",86.7%,3.5%,"  10,244 ",,13.2%
19740,"Denver, CO",2008,4Q2008,77,"10,799",85.1%,2.6%,"  10,799 ",,7.6%
19740,"Denver, CO",2009,1Q2009,78,"10,847",84.4%,2.9%,"  10,847 ",,7.1%
19740,"Denver, CO",2009,2Q2009,79,"11,051",83.2%,3.0%,"  11,051 ",,5.1%
19740,"Denver, CO",2009,3Q2009,81,"11,433",81.9%,3.1%,"  11,433 ",,1.6%
19740,"Denver, CO",2009,4Q2009,81,"11,453",82.5%,3.2%,"  11,453 ",,1.4%
19740,"Denver, CO",2010,1Q2010,82,"11,537",82.9%,2.6%,"  11,537 ",,0.7%
19740,"Denver, CO",2010,2Q2010,82,"11,537",83.6%,0.7%,"  11,537 ",,0.7%
19740,"Denver, CO",2010,3Q2010,82,"11,519",84.0%,-0.3%,"  11,519 ",,0.0%
19740,"Denver, CO",2010,4Q2010,82,"11,515",84.9%,-0.7%,"  11,515 ",,0.0%
19740,"Denver, CO",2011,1Q2011,82,"11,518",84.8%,0.2%,"  11,518 ",,0.0%
19740,"Denver, CO",2011,2Q2011,82,"11,512",86.3%,1.8%,"  11,512 ",,0.0%
19740,"Denver, CO",2011,3Q2011,82,"11,495",87.5%,2.4%,"  11,495 ",,0.4%
19740,"Denver, CO",2011,4Q2011,82,"11,497",88.7%,2.3%,"  11,497 ",,1.6%
19740,"Denver, CO",2012,1Q2012,82,"11,497",88.6%,0.7%,"  11,497 ",,1.6%
19740,"Denver, CO",2012,2Q2012,82,"11,491",89.5%,0.8%,"  11,491 ",,3.6%
19740,"Denver, CO",2012,3Q2012,83,"11,552",90.5%,1.0%,"  11,552 ",,6.0%
19740,"Denver, CO",2012,4Q2012,84,"11,635",91.3%,1.3%,"  11,635 ",,5.3%
19740,"Denver, CO",2013,1Q2013,84,"11,709",91.1%,3.9%,"  11,709 ",,7.3%
19740,"Denver, CO",2013,2Q2013,85,"11,902",90.4%,2.9%,"  11,902 ",,5.9%
19740,"Denver, CO",2013,3Q2013,86,"12,005",91.8%,2.1%,"  12,005 ",,6.9%
19740,"Denver, CO",2013,4Q2013,87,"12,132",91.8%,2.3%,"  12,132 ",,7.5%
19740,"Denver, CO",2014,1Q2014,88,"12,233",91.1%,1.6%,"  12,233 ",,8.5%
19740,"Denver, CO",2014,2Q2014,88,"12,303",91.3%,1.7%,"  12,303 ",,8.0%
19740,"Denver, CO",2014,3Q2014,90,"12,476",91.8%,2.9%,"  12,476 ",,7.1%
19740,"Denver, CO",2014,4Q2014,92,"12,770",91.2%,2.8%,"  12,770 ",,6.2%
19740,"Denver, CO",2015,1Q2015,93,"12,998",89.5%,3.0%,"  12,998 ",,7.5%
19740,"Denver, CO",2015,2Q2015,93,"13,099",89.8%,3.5%,"  13,099 ",,8.1%
19740,"Denver, CO",2015,3Q2015,94,"13,157",90.2%,3.5%,"  13,157 ",,9.3%
19740,"Denver, CO",2015,4Q2015,95,"13,208",90.8%,3.9%,"  13,208 ",,9.7%
19740,"Denver, CO",2016,1Q2016,96,"13,393",90.2%,3.1%,"  13,393 ",,9.0%
19740,"Denver, CO",2016,2Q2016,98,"13,553",89.2%,3.2%,"  13,553 ",,8.5%
19740,"Denver, CO",2016,3Q2016,100,"13,657",88.2%,3.2%,"  13,657 ",,11.9%
19740,"Denver, CO",2016,4Q2016,100,"13,680",88.2%,3.1%,"  13,680 ",,13.6%
19740,"Denver, CO",2017,1Q2017,104,"14,011",87.4%,3.0%,"  14,011 ",,12.8%
19740,"Denver, CO",2017,2Q2017,106,"14,254",86.7%,2.1%,"  14,254 ",,16.3%
19740,"Denver, CO",2017,3Q2017,107,"14,335",87.4%,1.7%,"  14,335 ",,15.7%
19740,"Denver, CO",2017,4Q2017,108,"14,347",88.4%,1.6%,"  14,347 ",,17.3%
19740,"Denver, CO",2018,1Q2018,108,"14,243",88.1%,0.7%,"  14,243 ",,17.6%
19740,"Denver, CO",2018,2Q2018,109,"14,976",87.2%,2.3%,"  14,976 ",,12.8%
19740,"Denver, CO",2018,3Q2018,111,"15,278",86.8%,2.5%,"  15,278 ",,11.7%
19740,"Denver, CO",2018,4Q2018,113,"15,430",86.8%,2.2%,"  15,430 ",,10.5%
19740,"Denver, CO",2019,1Q2019,114,"15,477",87.2%,3.7%,"  15,477 ",,10.3%
19740,"Denver, CO",2019,2Q2019,115,"15,703",88.1%,2.9%,"  15,703 ",,10.0%
19740,"Denver, CO",2019,3Q2019,115,"15,708",88.5%,3.1%,"  15,708 ",,10.0%
19820,"Detroit, MI",2005,4Q2005,142,"16,960",88.7%,,"  16,960 ",,4.0%
19820,"Detroit, MI",2006,1Q2006,143,"17,027",88.7%,,"  17,027 ",,3.6%
19820,"Detroit, MI",2006,2Q2006,143,"16,926",89.0%,,"  16,926 ",,3.2%
19820,"Detroit, MI",2006,3Q2006,144,"17,004",88.8%,,"  17,004 ",,3.5%
19820,"Detroit, MI",2006,4Q2006,145,"17,108",88.6%,3.2%,"  17,108 ",,2.4%
19820,"Detroit, MI",2007,1Q2007,145,"17,260",88.8%,2.8%,"  17,260 ",,2.2%
19820,"Detroit, MI",2007,2Q2007,145,"17,359",90.2%,2.9%,"  17,359 ",,2.2%
19820,"Detroit, MI",2007,3Q2007,144,"17,416",89.4%,2.6%,"  17,416 ",,1.5%
19820,"Detroit, MI",2007,4Q2007,144,"17,422",89.3%,2.9%,"  17,422 ",,3.3%
19820,"Detroit, MI",2008,1Q2008,145,"17,560",88.0%,3.1%,"  17,560 ",,2.5%
19820,"Detroit, MI",2008,2Q2008,146,"17,690",87.5%,2.9%,"  17,690 ",,1.7%
19820,"Detroit, MI",2008,3Q2008,146,"17,690",87.0%,3.0%,"  17,690 ",,1.7%
19820,"Detroit, MI",2008,4Q2008,146,"17,879",86.2%,2.0%,"  17,879 ",,0.6%
19820,"Detroit, MI",2009,1Q2009,146,"17,880",86.3%,2.4%,"  17,880 ",,0.6%
19820,"Detroit, MI",2009,2Q2009,147,"17,958",85.2%,1.7%,"  17,958 ",,0.1%
19820,"Detroit, MI",2009,3Q2009,147,"17,957",86.3%,1.1%,"  17,957 ",,0.3%
19820,"Detroit, MI",2009,4Q2009,147,"17,955",87.0%,0.7%,"  17,955 ",,0.3%
19820,"Detroit, MI",2010,1Q2010,147,"17,944",86.4%,-0.2%,"  17,944 ",,0.1%
19820,"Detroit, MI",2010,2Q2010,147,"17,946",87.1%,-0.2%,"  17,946 ",,0.6%
19820,"Detroit, MI",2010,3Q2010,148,"17,959",87.8%,0.6%,"  17,959 ",,0.6%
19820,"Detroit, MI",2010,4Q2010,148,"17,967",88.1%,0.8%,"  17,967 ",,0.6%
19820,"Detroit, MI",2011,1Q2011,148,"17,962",88.2%,1.8%,"  17,962 ",,0.6%
19820,"Detroit, MI",2011,2Q2011,148,"17,956",88.5%,2.2%,"  17,956 ",,0.6%
19820,"Detroit, MI",2011,3Q2011,147,"17,915",89.2%,2.3%,"  17,915 ",,0.6%
19820,"Detroit, MI",2011,4Q2011,147,"17,933",89.4%,2.5%,"  17,933 ",,1.1%
19820,"Detroit, MI",2012,1Q2012,147,"17,932",89.4%,2.2%,"  17,932 ",,1.1%
19820,"Detroit, MI",2012,2Q2012,149,"18,046",89.6%,2.4%,"  18,046 ",,1.4%
19820,"Detroit, MI",2012,3Q2012,149,"18,043",90.3%,2.7%,"  18,043 ",,1.5%
19820,"Detroit, MI",2012,4Q2012,149,"18,090",90.8%,2.6%,"  18,090 ",,3.5%
19820,"Detroit, MI",2013,1Q2013,149,"18,116",90.6%,2.6%,"  18,116 ",,3.4%
19820,"Detroit, MI",2013,2Q2013,150,"18,192",90.4%,2.3%,"  18,192 ",,3.7%
19820,"Detroit, MI",2013,3Q2013,151,"18,316",89.9%,2.3%,"  18,316 ",,3.8%
19820,"Detroit, MI",2013,4Q2013,151,"18,336",90.3%,2.3%,"  18,336 ",,5.3%
19820,"Detroit, MI",2014,1Q2014,152,"18,407",90.2%,2.1%,"  18,407 ",,5.5%
19820,"Detroit, MI",2014,2Q2014,153,"18,507",90.9%,1.9%,"  18,507 ",,5.3%
19820,"Detroit, MI",2014,3Q2014,154,"18,728",90.7%,1.5%,"  18,728 ",,5.2%
19820,"Detroit, MI",2014,4Q2014,155,"18,752",91.0%,1.3%,"  18,752 ",,5.3%
19820,"Detroit, MI",2015,1Q2015,155,"18,762",91.0%,1.8%,"  18,762 ",,5.3%
19820,"Detroit, MI",2015,2Q2015,157,"19,056",90.3%,1.9%,"  19,056 ",,4.8%
19820,"Detroit, MI",2015,3Q2015,158,"19,188",91.2%,2.4%,"  19,188 ",,6.3%
19820,"Detroit, MI",2015,4Q2015,161,"19,441",90.7%,2.7%,"  19,441 ",,5.9%
19820,"Detroit, MI",2016,1Q2016,161,"19,521",90.4%,4.0%,"  19,521 ",,5.8%
19820,"Detroit, MI",2016,2Q2016,160,"19,532",90.6%,3.8%,"  19,532 ",,10.3%
19820,"Detroit, MI",2016,3Q2016,160,"19,609",90.9%,10.2%,"  19,609 ",,10.8%
19820,"Detroit, MI",2016,4Q2016,159,"19,656",90.8%,9.8%,"  19,656 ",,11.2%
19820,"Detroit, MI",2017,1Q2017,160,"19,690",90.6%,10.1%,"  19,690 ",,10.5%
19820,"Detroit, MI",2017,2Q2017,163,"20,120",88.3%,9.4%,"  20,120 ",,9.4%
19820,"Detroit, MI",2017,3Q2017,166,"20,470",87.8%,2.1%,"  20,470 ",,9.4%
19820,"Detroit, MI",2017,4Q2017,166,"20,451",88.3%,1.9%,"  20,451 ",,11.1%
19820,"Detroit, MI",2018,1Q2018,168,"20,679",87.4%,0.5%,"  20,679 ",,10.0%
19820,"Detroit, MI",2018,2Q2018,172,"21,382",86.1%,1.6%,"  21,382 ",,6.7%
19820,"Detroit, MI",2018,3Q2018,173,"21,511",86.3%,2.3%,"  21,511 ",,6.7%
19820,"Detroit, MI",2018,4Q2018,174,"21,601",86.9%,2.9%,"  21,601 ",,7.2%
19820,"Detroit, MI",2019,1Q2019,177,"21,815",86.0%,3.0%,"  21,815 ",,5.9%
19820,"Detroit, MI",2019,2Q2019,183,"22,379",84.0%,2.5%,"  22,379 ",,3.5%
19820,"Detroit, MI",2019,3Q2019,183,"22,385",85.0%,1.7%,"  22,385 ",,4.0%
26420,"Houston, TX",2005,4Q2005,90,"11,119",92.1%,,"  11,119 ",,5.7%
26420,"Houston, TX",2006,1Q2006,90,"11,123",92.5%,,"  11,123 ",,7.9%
26420,"Houston, TX",2006,2Q2006,91,"11,316",92.1%,,"  11,316 ",,6.1%
26420,"Houston, TX",2006,3Q2006,91,"11,435",92.3%,,"  11,435 ",,6.6%
26420,"Houston, TX",2006,4Q2006,91,"11,426",92.1%,4.7%,"  11,426 ",,8.3%
26420,"Houston, TX",2007,1Q2007,93,"11,720",90.7%,5.3%,"  11,720 ",,7.6%
26420,"Houston, TX",2007,2Q2007,95,"11,913",89.2%,5.4%,"  11,913 ",,5.0%
26420,"Houston, TX",2007,3Q2007,100,"12,276",87.5%,4.8%,"  12,276 ",,1.9%
26420,"Houston, TX",2007,4Q2007,100,"12,272",88.0%,3.7%,"  12,272 ",,4.0%
26420,"Houston, TX",2008,1Q2008,101,"12,479",87.4%,3.6%,"  12,479 ",,3.0%
26420,"Houston, TX",2008,2Q2008,101,"12,455",88.9%,3.1%,"  12,455 ",,4.7%
26420,"Houston, TX",2008,3Q2008,101,"12,454",89.6%,2.7%,"  12,454 ",,5.7%
26420,"Houston, TX",2008,4Q2008,101,"12,464",89.7%,3.2%,"  12,464 ",,5.6%
26420,"Houston, TX",2009,1Q2009,103,"12,598",88.3%,2.7%,"  12,598 ",,4.5%
26420,"Houston, TX",2009,2Q2009,104,"12,820",86.6%,3.5%,"  12,820 ",,2.7%
26420,"Houston, TX",2009,3Q2009,105,"12,981",85.8%,2.7%,"  12,981 ",,3.6%
26420,"Houston, TX",2009,4Q2009,106,"13,068",85.5%,2.3%,"  13,068 ",,3.3%
26420,"Houston, TX",2010,1Q2010,108,"13,249",84.8%,2.5%,"  13,249 ",,1.9%
26420,"Houston, TX",2010,2Q2010,108,"13,249",86.0%,2.2%,"  13,249 ",,2.2%
26420,"Houston, TX",2010,3Q2010,109,"13,295",86.7%,2.4%,"  13,295 ",,2.9%
26420,"Houston, TX",2010,4Q2010,110,"13,342",86.3%,2.2%,"  13,342 ",,2.6%
26420,"Houston, TX",2011,1Q2011,110,"13,342",86.2%,1.5%,"  13,342 ",,2.9%
26420,"Houston, TX",2011,2Q2011,111,"13,351",86.2%,0.8%,"  13,351 ",,4.0%
26420,"Houston, TX",2011,3Q2011,112,"13,495",86.1%,0.7%,"  13,495 ",,3.0%
26420,"Houston, TX",2011,4Q2011,113,"13,506",86.2%,1.3%,"  13,506 ",,4.1%
26420,"Houston, TX",2012,1Q2012,114,"13,613",85.9%,1.7%,"  13,613 ",,4.8%
